constituency_name,parliament_seat_name,total_2021_electors,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
Krishnanagar Dakshin,Krishnanagar,225118,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.1,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
Santipur,Ranaghat,255619,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
Ranaghat Uttar Paschim,Ranaghat,265846,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
Krishnaganj,Ranaghat,273728,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
Ranaghat Uttar Purba,Ranaghat,264929,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
Ranaghat Dakshin,Ranaghat,285180,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
Chakdaha,Ranaghat,245514,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
Kalyani,Bongaon,257683,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
Haringhata,Bongaon,240606,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
Bagda,Bongaon,277464,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
