constituency,AITC+_candidate,AITC+_total_votes,AITC+_vote_share,BJP_candidate,BJP_total_votes,BJP_vote_share,Other_candidate,Other_total_votes,Other_vote_share
Kakdwip,MANTURAM PAKHIRA,104613,45.23,DIPANKAR JANA,109373,47.29,NARAYAN DAS,16861,7.28
Kalchini,BIRENDRA BARA (ORAON),76916,37.96,BISHAL LAMA,114759,56.64,ANJAN CHIK BARAIK,9840,4.87
Kaliaganj,NITAI BAISHYA,81924,31.73,UTPAL BRAHMACHARO,158349,61.32,HIRU ROY SARKAR,15827,6.13
Kaliganj,ALIFA AHMED,89292,40.77,BAPAN GHOSH,79120,36.12,SABINA IYASMIN SEKH,50050,22.85
Kalimpong,RUDEN SADA LEPCHA,62826,37.07,BHARAT KUMAR CHETRI,84290,49.74,BHERNONE BRITTO LEPCHA,20972,12.39
Kalna,DEBO PRASAD BAG (POLTU),82160,38.53,SIDDHARTHA MAJUMDAR,110790,51.96,SHARMISTHA NAG SAHA,19807,9.28
Kalyani,DR. ATINDRA NATH MONDAL,79677,36.97,ANUPAM BISWAS,114469,53.12,SABUJ DAS,20242,9.39
Kamarhati,MADAN MITRA,64817,43.71,ARUP CHOUDHURY (PULAK),59171,39.91,MANASH MUKHERJEE,23486,15.84
Kandi,APURBA SARKAR (DAVID),63020,31.6,GARGI DAS GHOSH,73355,36.78,SHAMIM RANA,61086,30.63
Kanthi Dakshin,TARUN KUMAR JANA,86747,40.76,ARUP KUMAR DAS,118219,55.54,TEHERAN HOSSAIN,7487,3.52
Kanthi Uttar,DEBASIS BHUNYA,110033,44.12,SUMITA SINHA,130088,52.16,SUTANU MAITY,8676,3.48
Karandighi,GOUTAM PAUL,76391,34.73,BIRAJ BISWAS,96260,43.76,MD. SAHABUDDIN,44621,20.29
Karimpur,SOHAM CHAKRABORTY,95049,39.45,SAMARENDRANATH GHOSH,105234,43.68,PRABHAS MAJUMDAR,40138,16.67
Kasba,AHMED JAVED KHAN,117893,48.88,BANERJEE SANDIP,96919,40.18,DIPU DAS,25030,10.38
Kashipur,SOUMEN BELTHARIA,85295,40.24,KAMALA KANTA HANSDA,106571,50.28,BAURI SULEKHA,18543,8.75
Kashipur Belgachhia,ATIN GHOSH,66717,44.32,RITESH TIWARI,68368,45.41,RAJENDRA GUPTA,14859,9.87
Katulpur,HARAKALI PROTIHER,91874,38.24,LAKSHMI KANTA MAJUMDAR,126241,52.55,RAMCHANDRA ROY,21265,8.84
